Broj primjera;F1;Klasa;Odziv;Preciznost
80;1.0;a;1.0;1.0
86;1.0;b;1.0;1.0
87;1.0;d;1.0;1.0
86;1.0;đ;1.0;1.0
87;1.0;e;1.0;1.0
83;1.0;f;1.0;1.0
79;1.0;g;1.0;1.0
80;1.0;h;1.0;1.0
80;1.0;i;1.0;1.0
84;1.0;j;1.0;1.0
77;1.0;k;1.0;1.0
77;0.79;l;0.91;0.7
77;1.0;m;1.0;1.0
84;1.0;n;1.0;1.0
83;1.0;p;1.0;1.0
83;1.0;q;1.0;1.0
80;1.0;r;1.0;1.0
80;1.0;t;1.0;1.0
84;0.98;u;0.96;1.0
86;0.99;0;0.98;1.0
87;1.0;1;1.0;1.0
87;1.0;2;1.0;1.0
86;1.0;3;1.0;1.0
86;1.0;4;1.0;1.0
86;0.99;5;0.99;1.0
87;0.99;6;1.0;0.99
87;1.0;7;1.0;1.0
87;1.0;8;1.0;1.0
87;1.0;9;1.0;1.0
87;1.0;";";1.0;1.0
79;0.99;.;1.0;0.99
87;1.0;!;1.0;1.0
84;0.99;(;1.0;0.99
87;1.0;-;1.0;1.0
84;1.0;?;1.0;1.0
84;0.99;);0.99;1.0
170;1.0;c;1.0;1.0
164;1.0;č;1.0;1.0
164;1.0;ć;1.0;1.0
170;0.99;o;1.0;0.99
167;1.0;s;1.0;1.0
171;1.0;š;1.0;1.0
166;1.0;v;1.0;1.0
158;1.0;w;1.0;1.0
158;1.0;x;1.0;1.0
164;1.0;y;1.0;1.0
164;1.0;z;1.0;1.0
174;1.0;ž;1.0;1.0
80;1.0;A;1.0;1.0
80;1.0;B;1.0;1.0
83;1.0;D;1.0;1.0
87;1.0;Đ;1.0;1.0
78;1.0;E;1.0;1.0
83;1.0;F;1.0;1.0
77;0.99;G;0.99;1.0
77;1.0;H;1.0;1.0
77;0.72;I;0.61;0.87
83;1.0;J;1.0;1.0
83;1.0;K;1.0;1.0
78;1.0;L;1.0;1.0
78;1.0;M;1.0;1.0
78;1.0;N;1.0;1.0
86;1.0;P;1.0;1.0
84;1.0;Q;1.0;1.0
84;1.0;R;1.0;1.0
82;1.0;T;1.0;1.0
82;0.98;U;1.0;0.96
