lower_l/048f9a1d-8cf1-4987-b9d9-cf23b6ef128e.jpg, true: l, pred: I
lower_l/496deec5-4174-42ed-86c0-05cfe57b037a.jpg, true: l, pred: I
lower_l/6c1124c6-e7ea-4b45-aaa5-e66a878177d0.jpg, true: l, pred: I
lower_l/71340700-a910-45d8-bb86-14bb7e43b17b.jpg, true: l, pred: I
lower_l/ba3520da-a2bc-4406-879f-632fbd65622b.jpg, true: l, pred: I
lower_l/beff9f2e-fedf-4afc-8602-55b8b9dc42eb.jpg, true: l, pred: I
lower_l/fb54c99c-1af8-49ac-a085-db5473100d30.jpg, true: l, pred: I

lower_u/6f019adf-16dc-4767-808d-73253ac4ec5e.jpg, true: u, pred: U
lower_u/778d64e1-503a-4934-ac36-69f93352bc13.jpg, true: u, pred: U
lower_u/b54f6339-ece6-4e86-b8b7-005a9f603ecd.jpg, true: u, pred: U

number_0/17d3018e-0120-4a15-9957-6aefe51f39e1.jpg, true: 0, pred: o
number_0/9bbf620e-95a1-4592-b988-f79590df6ca2.jpg, true: 0, pred: o

number_5/5e948795-e473-4c24-9b1e-3b8bda3d93de.jpg, true: 5, pred: 6

special_right_bracket/751e5c1c-6e05-4559-9355-b211789c020c.jpg, true: ), pred: .

upper_g/ad6d9433-e821-4861-ba75-3aefdc962ab8.jpg, true: G, pred: (

upper_i/0961713c-92e1-4995-8e62-7d0eb6bedfe5.jpg, true: I, pred: l
upper_i/0a7ef99d-bee0-4f1a-8462-b13ece43e033.jpg, true: I, pred: l
upper_i/15e93f3b-8a4a-4323-9fb8-05bcdfdfbc45.jpg, true: I, pred: l
upper_i/1df672b4-082a-4fc1-8684-d1f128891d38.jpg, true: I, pred: l
upper_i/277a2e81-8d8f-489b-aaf9-0a303c93c6f8.jpg, true: I, pred: l
upper_i/35b96e0f-a35b-421e-a294-9e2e414b8b5f.jpg, true: I, pred: l
upper_i/3e0bb9f5-ac14-466e-80a9-e4a80576d346.jpg, true: I, pred: l
upper_i/46f79839-80c8-44d8-9f9b-ef0e60fb7391.jpg, true: I, pred: l
upper_i/510683a2-691c-493d-8787-bcd3043f8bbc.jpg, true: I, pred: l
upper_i/587e2ad1-e600-433d-91a1-8c5e57dad436.jpg, true: I, pred: l
upper_i/5bf024dd-df16-49b9-87b1-246647fa2921.jpg, true: I, pred: l
upper_i/5dd361ce-dc9b-4ed3-8918-f30fbfac238e.jpg, true: I, pred: l
upper_i/615fd096-597a-48d4-94d0-f4787bc37b0d.jpg, true: I, pred: l
upper_i/75648622-de86-4dc2-b440-4cfee4bab923.jpg, true: I, pred: l
upper_i/7c3712aa-7bfa-4848-a664-6f92cde2c786.jpg, true: I, pred: l
upper_i/8b55d331-0506-4099-861e-4b27114c27d5.jpg, true: I, pred: l
upper_i/98eb5228-a622-417e-976e-1f6f2fadb313.jpg, true: I, pred: l
upper_i/9aa93475-c692-4993-b1cb-1f0641fc635a.jpg, true: I, pred: l
upper_i/a2442faa-3d82-4f69-ba15-2f571046f094.jpg, true: I, pred: l
upper_i/ac1673ed-9fac-4b92-bc01-f1a207735513.jpg, true: I, pred: l
upper_i/be0238ce-59c7-4f31-b073-d418674262c7.jpg, true: I, pred: l
upper_i/bf75d3a5-20ca-423d-8023-4f277b444e9f.jpg, true: I, pred: l
upper_i/c446830c-8c71-4905-935c-6f37d29d4c21.jpg, true: I, pred: l
upper_i/c7038c55-bac0-42c7-87c2-acf1f6454009.jpg, true: I, pred: l
upper_i/d8a1377d-936f-4663-8541-3ef1965a1937.jpg, true: I, pred: l
upper_i/dd2699ee-734b-44ff-b57a-62200d1caae0.jpg, true: I, pred: l
upper_i/e2fb0c29-119a-4da9-a27f-58c68413f590.jpg, true: I, pred: l
upper_i/e379efde-562c-4bf5-a3df-533d40652d68.jpg, true: I, pred: l
upper_i/e790fe22-2ca4-4d9f-81ed-71b45a3ecffc.jpg, true: I, pred: l
upper_i/eb8d902e-7061-46f7-93ff-e8c729510e84.jpg, true: I, pred: l
