UNLV-ISRI OCR Word Accuracy Report Version 6.1
----------------------------------------------
     226   Words
      51   Misrecognized
   77.43%  Accuracy

Stopwords
   Count   Missed   %Right   Length
      15        0   100.00        1
       1        0   100.00        2
      16        0   100.00    Total

Non-stopwords
   Count   Missed   %Right   Length
       6        0   100.00        1
      31        5    83.87        2
      17        0   100.00        3
      11        3    72.73        4
      18        4    77.78        5
      23        2    91.30        6
      24        5    79.17        7
      15        3    80.00        8
      32       12    62.50        9
      13        3    76.92       10
      12        7    41.67       11
       1        1     0.00       13
       2        2     0.00       14
       3        2    33.33       15
       2        2     0.00       19
     210       51    75.71    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
     124       37    70.16        1
      13        3    76.92        2
       7        1    85.71        3
       4        1    75.00        4
       1        0   100.00        5
       1        0   100.00        6
       1        0   100.00      >10
     151       42    72.19    Total

Phrases
   Count   Missed   %Right   Length
     226       51    77.43        1
     225       94    58.22        2
     224      123    45.09        3
     223      147    34.08        4
     222      164    26.13        5
     221      179    19.00        6
     220      191    13.18        7
     219      197    10.05        8

Stopwords
   Count   Missed   %Right   
       1        0   100.00   a
       1        0   100.00   do
      14        0   100.00   i

Non-stopwords
   Count   Missed   %Right   
       1        1     0.00   19
       1        0   100.00   24
      12        1    91.67   a1
       3        0   100.00   austria
       1        0   100.00   bez
       4        0   100.00   brend
       2        0   100.00   brenda
       1        0   100.00   brendom
       1        1     0.00   budući
       2        2     0.00   d.o.o
       3        0   100.00   da
       1        0   100.00   digitalnih
       1        0   100.00   digitalnoj
       1        1     0.00   dobavljača
       1        1     0.00   dosljedno
       2        0   100.00   društva
       1        0   100.00   država
       1        1     0.00   ekonomije
       1        0   100.00   europi
       1        0   100.00   europskom
       1        0   100.00   fiksna
       1        0   100.00   fiksne
       1        1     0.00   generacije
       1        0   100.00   gigabitnog
       1        0   100.00   godina
       2        0   100.00   godine
       1        0   100.00   grupa
       2        0   100.00   grupe
       1        0   100.00   hrvatska
       1        0   100.00   hrvatske
       1        0   100.00   hrvatskog
       1        0   100.00   hrvatskoj
       1        0   100.00   hrvatskom
       1        0   100.00   ili
       1        1     0.00   inovacijama
       1        0   100.00   inovativna
       1        0   100.00   iskustvo
       1        0   100.00   istočnoj
       1        1     0.00   izmjenama
       3        3     0.00   je
       1        1     0.00   jedinstveni
       1        1     0.00   jedinstveno
       1        0   100.00   kao
       1        1     0.00   klijenata
       1        1     0.00   koja
       2        2     0.00   koji
       1        1     0.00   kompanije
       1        1     0.00   komunikacijskih
       1        1     0.00   komunikacijskim
       1        0   100.00   korisnicima
       3        0   100.00   korisnika
       1        1     0.00   kraja
       1        1     0.00   milijuna
       1        0   100.00   mobilna
       1        0   100.00   mobilne
       1        0   100.00   mreže
       4        0   100.00   na
       1        0   100.00   napretku
       1        0   100.00   nastavit
       1        0   100.00   nastaviti
       1        0   100.00   naziva
       1        0   100.00   naših
       1        0   100.00   ne
       1        0   100.00   nego
       1        1     0.00   nepromijenjena
       1        1     0.00   njezinu
       2        0   100.00   nove
       1        0   100.00   novim
       1        0   100.00   oblaku
       1        0   100.00   obveze
       1        0   100.00   od
       1        0   100.00   odgovarati
       1        0   100.00   odlučila
       1        0   100.00   omogućavajući
       1        0   100.00   omogućiti
       1        0   100.00   osnažiti
       1        0   100.00   ostat
       1        0   100.00   ott
       1        0   100.00   ove
       1        0   100.00   partnera
       1        0   100.00   pod
       1        0   100.00   podatkovna
       1        0   100.00   pomažući
       1        0   100.00   ponosni
       1        0   100.00   poslovnih
       1        1     0.00   posluje
       1        1     0.00   postaje
       1        0   100.00   postat
       1        0   100.00   potrebama
       1        0   100.00   potrebe
       1        1     0.00   poziciju
       1        0   100.00   početaka
       1        0   100.00   prava
       1        0   100.00   pri
       1        0   100.00   približno
       1        0   100.00   pridonosi
       1        1     0.00   promjeni
       1        0   100.00   prošle
       1        0   100.00   pruža
       1        0   100.00   pružajući
       1        1     0.00   pružatelja
       1        0   100.00   pružati
       1        1     0.00   ranije
       1        0   100.00   razvoju
       1        0   100.00   republici
       4        4     0.00   rješenja
       1        0   100.00   s
       1        0   100.00   samo
       1        0   100.00   sedam
       1        0   100.00   servisa
       1        1     0.00   sklopljenih
       1        0   100.00   snažan
       1        0   100.00   središnjoj
       1        0   100.00   stalnim
       1        0   100.00   stečena
       1        1     0.00   stvaranje
       2        0   100.00   sva
       1        0   100.00   sve
       3        0   100.00   svim
       1        1     0.00   svoje
       1        1     0.00   svojih
       1        0   100.00   također
       1        0   100.00   te
       1        1     0.00   tehnologije
       3        0   100.00   telekom
       1        1     0.00   telekomunikacijskog
       1        1     0.00   telekomunikacijskom
       1        1     0.00   transformaciji
       1        0   100.00   trenutačno
       2        0   100.00   tržišta
       1        0   100.00   tržištima
       2        0   100.00   tržištu
       1        0   100.00   tv
       5        0   100.00   u
       1        0   100.00   ugovora
       1        1     0.00   uključujući
       2        2     0.00   ulaganjima
       1        0   100.00   unatoč
       2        0   100.00   usluge
       1        1     0.00   uvođenje
       1        1     0.00   valjana
       1        0   100.00   već
       1        0   100.00   vip
       4        0   100.00   vipnet
       1        0   100.00   vodećeg
       3        0   100.00   za
       1        0   100.00   zamijeniti
       1        1     0.00   značajno
       6        0   100.00   će
       2        0   100.00   ćemo
       1        0   100.00   član
