UNLV-ISRI OCR Word Accuracy Report Version 6.1
----------------------------------------------
     226   Words
      76   Misrecognized
   66.37%  Accuracy

Stopwords
   Count   Missed   %Right   Length
      15        0   100.00        1
       1        0   100.00        2
      16        0   100.00    Total

Non-stopwords
   Count   Missed   %Right   Length
       6        3    50.00        1
      31       12    61.29        2
      17        0   100.00        3
      11        2    81.82        4
      18        8    55.56        5
      23       11    52.17        6
      24        9    62.50        7
      15        3    80.00        8
      32       12    62.50        9
      13        5    61.54       10
      12        6    50.00       11
       1        1     0.00       13
       2        0   100.00       14
       3        2    33.33       15
       2        2     0.00       19
     210       76    63.81    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
     124       37    70.16        1
      13        3    76.92        2
       7        1    85.71        3
       4        1    75.00        4
       1        0   100.00        5
       1        0   100.00        6
       1        0   100.00      >10
     151       42    72.19    Total

Phrases
   Count   Missed   %Right   Length
     226       76    66.37        1
     225      118    47.56        2
     224      149    33.48        3
     223      171    23.32        4
     222      185    16.67        5
     221      194    12.22        6
     220      203     7.73        7
     219      207     5.48        8

Stopwords
   Count   Missed   %Right   
       1        0   100.00   a
       1        0   100.00   do
      14        0   100.00   i

Non-stopwords
   Count   Missed   %Right   
       1        1     0.00   19
       1        0   100.00   24
      12       11     8.33   a1
       3        2    33.33   austria
       1        0   100.00   bez
       4        3    25.00   brend
       2        0   100.00   brenda
       1        1     0.00   brendom
       1        0   100.00   budući
       2        0   100.00   d.o.o
       3        0   100.00   da
       1        1     0.00   digitalnih
       1        0   100.00   digitalnoj
       1        0   100.00   dobavljača
       1        0   100.00   dosljedno
       2        1    50.00   društva
       1        1     0.00   država
       1        0   100.00   ekonomije
       1        1     0.00   europi
       1        1     0.00   europskom
       1        0   100.00   fiksna
       1        0   100.00   fiksne
       1        0   100.00   generacije
       1        0   100.00   gigabitnog
       1        1     0.00   godina
       2        2     0.00   godine
       1        0   100.00   grupa
       2        2     0.00   grupe
       1        0   100.00   hrvatska
       1        0   100.00   hrvatske
       1        0   100.00   hrvatskog
       1        0   100.00   hrvatskoj
       1        1     0.00   hrvatskom
       1        0   100.00   ili
       1        0   100.00   inovacijama
       1        0   100.00   inovativna
       1        0   100.00   iskustvo
       1        0   100.00   istočnoj
       1        0   100.00   izmjenama
       3        0   100.00   je
       1        1     0.00   jedinstveni
       1        0   100.00   jedinstveno
       1        0   100.00   kao
       1        0   100.00   klijenata
       1        0   100.00   koja
       2        0   100.00   koji
       1        0   100.00   kompanije
       1        1     0.00   komunikacijskih
       1        1     0.00   komunikacijskim
       1        0   100.00   korisnicima
       3        3     0.00   korisnika
       1        0   100.00   kraja
       1        1     0.00   milijuna
       1        0   100.00   mobilna
       1        0   100.00   mobilne
       1        1     0.00   mreže
       4        0   100.00   na
       1        0   100.00   napretku
       1        0   100.00   nastavit
       1        0   100.00   nastaviti
       1        1     0.00   naziva
       1        0   100.00   naših
       1        0   100.00   ne
       1        0   100.00   nego
       1        0   100.00   nepromijenjena
       1        0   100.00   njezinu
       2        0   100.00   nove
       1        0   100.00   novim
       1        1     0.00   oblaku
       1        0   100.00   obveze
       1        0   100.00   od
       1        0   100.00   odgovarati
       1        0   100.00   odlučila
       1        0   100.00   omogućavajući
       1        0   100.00   omogućiti
       1        0   100.00   osnažiti
       1        0   100.00   ostat
       1        0   100.00   ott
       1        0   100.00   ove
       1        0   100.00   partnera
       1        0   100.00   pod
       1        0   100.00   podatkovna
       1        1     0.00   pomažući
       1        1     0.00   ponosni
       1        0   100.00   poslovnih
       1        1     0.00   posluje
       1        0   100.00   postaje
       1        0   100.00   postat
       1        0   100.00   potrebama
       1        0   100.00   potrebe
       1        0   100.00   poziciju
       1        0   100.00   početaka
       1        0   100.00   prava
       1        0   100.00   pri
       1        1     0.00   približno
       1        1     0.00   pridonosi
       1        1     0.00   promjeni
       1        0   100.00   prošle
       1        0   100.00   pruža
       1        1     0.00   pružajući
       1        1     0.00   pružatelja
       1        0   100.00   pružati
       1        0   100.00   ranije
       1        0   100.00   razvoju
       1        0   100.00   republici
       4        4     0.00   rješenja
       1        0   100.00   s
       1        0   100.00   samo
       1        1     0.00   sedam
       1        0   100.00   servisa
       1        1     0.00   sklopljenih
       1        0   100.00   snažan
       1        0   100.00   središnjoj
       1        1     0.00   stalnim
       1        0   100.00   stečena
       1        1     0.00   stvaranje
       2        0   100.00   sva
       1        0   100.00   sve
       3        2    33.33   svim
       1        0   100.00   svoje
       1        1     0.00   svojih
       1        0   100.00   također
       1        0   100.00   te
       1        1     0.00   tehnologije
       3        1    66.67   telekom
       1        1     0.00   telekomunikacijskog
       1        1     0.00   telekomunikacijskom
       1        0   100.00   transformaciji
       1        1     0.00   trenutačno
       2        0   100.00   tržišta
       1        0   100.00   tržištima
       2        0   100.00   tržištu
       1        0   100.00   tv
       5        3    40.00   u
       1        1     0.00   ugovora
       1        1     0.00   uključujući
       2        1    50.00   ulaganjima
       1        0   100.00   unatoč
       2        2     0.00   usluge
       1        0   100.00   uvođenje
       1        0   100.00   valjana
       1        0   100.00   već
       1        0   100.00   vip
       4        1    75.00   vipnet
       1        0   100.00   vodećeg
       3        0   100.00   za
       1        1     0.00   zamijeniti
       1        1     0.00   značajno
       6        0   100.00   će
       2        1    50.00   ćemo
       1        1     0.00   član
