UNLV-ISRI OCR Word Accuracy Report Version 6.1
----------------------------------------------
     226   Words
      10   Misrecognized
   95.58%  Accuracy

Stopwords
   Count   Missed   %Right   Length
      15        0   100.00        1
       1        0   100.00        2
      16        0   100.00    Total

Non-stopwords
   Count   Missed   %Right   Length
       6        0   100.00        1
      31        0   100.00        2
      17        0   100.00        3
      11        1    90.91        4
      18        0   100.00        5
      23        1    95.65        6
      24        1    95.83        7
      15        0   100.00        8
      32        4    87.50        9
      13        2    84.62       10
      12        0   100.00       11
       1        0   100.00       13
       2        0   100.00       14
       3        1    66.67       15
       2        0   100.00       19
     210       10    95.24    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
     124        6    95.16        1
      13        0   100.00        2
       7        0   100.00        3
       4        0   100.00        4
       1        0   100.00        5
       1        0   100.00        6
       1        0   100.00      >10
     151        6    96.03    Total

Phrases
   Count   Missed   %Right   Length
     226       10    95.58        1
     225       19    91.56        2
     224       27    87.95        3
     223       34    84.75        4
     222       41    81.53        5
     221       47    78.73        6
     220       53    75.91        7
     219       58    73.52        8

Stopwords
   Count   Missed   %Right   
       1        0   100.00   a
       1        0   100.00   do
      14        0   100.00   i

Non-stopwords
   Count   Missed   %Right   
       1        0   100.00   19
       1        0   100.00   24
      12        0   100.00   a1
       3        0   100.00   austria
       1        0   100.00   bez
       4        0   100.00   brend
       2        0   100.00   brenda
       1        0   100.00   brendom
       1        0   100.00   budući
       2        0   100.00   d.o.o
       3        0   100.00   da
       1        1     0.00   digitalnih
       1        0   100.00   digitalnoj
       1        0   100.00   dobavljača
       1        0   100.00   dosljedno
       2        0   100.00   društva
       1        0   100.00   država
       1        1     0.00   ekonomije
       1        0   100.00   europi
       1        0   100.00   europskom
       1        0   100.00   fiksna
       1        0   100.00   fiksne
       1        0   100.00   generacije
       1        0   100.00   gigabitnog
       1        0   100.00   godina
       2        0   100.00   godine
       1        0   100.00   grupa
       2        0   100.00   grupe
       1        0   100.00   hrvatska
       1        0   100.00   hrvatske
       1        0   100.00   hrvatskog
       1        0   100.00   hrvatskoj
       1        1     0.00   hrvatskom
       1        0   100.00   ili
       1        0   100.00   inovacijama
       1        0   100.00   inovativna
       1        0   100.00   iskustvo
       1        0   100.00   istočnoj
       1        0   100.00   izmjenama
       3        0   100.00   je
       1        0   100.00   jedinstveni
       1        0   100.00   jedinstveno
       1        0   100.00   kao
       1        0   100.00   klijenata
       1        0   100.00   koja
       2        0   100.00   koji
       1        0   100.00   kompanije
       1        1     0.00   komunikacijskih
       1        0   100.00   komunikacijskim
       1        0   100.00   korisnicima
       3        0   100.00   korisnika
       1        0   100.00   kraja
       1        0   100.00   milijuna
       1        0   100.00   mobilna
       1        0   100.00   mobilne
       1        0   100.00   mreže
       4        0   100.00   na
       1        0   100.00   napretku
       1        0   100.00   nastavit
       1        0   100.00   nastaviti
       1        0   100.00   naziva
       1        0   100.00   naših
       1        0   100.00   ne
       1        0   100.00   nego
       1        0   100.00   nepromijenjena
       1        0   100.00   njezinu
       2        0   100.00   nove
       1        0   100.00   novim
       1        0   100.00   oblaku
       1        0   100.00   obveze
       1        0   100.00   od
       1        0   100.00   odgovarati
       1        0   100.00   odlučila
       1        0   100.00   omogućavajući
       1        0   100.00   omogućiti
       1        0   100.00   osnažiti
       1        0   100.00   ostat
       1        0   100.00   ott
       1        0   100.00   ove
       1        0   100.00   partnera
       1        0   100.00   pod
       1        1     0.00   podatkovna
       1        0   100.00   pomažući
       1        0   100.00   ponosni
       1        0   100.00   poslovnih
       1        0   100.00   posluje
       1        0   100.00   postaje
       1        0   100.00   postat
       1        0   100.00   potrebama
       1        0   100.00   potrebe
       1        0   100.00   poziciju
       1        0   100.00   početaka
       1        0   100.00   prava
       1        0   100.00   pri
       1        0   100.00   približno
       1        0   100.00   pridonosi
       1        0   100.00   promjeni
       1        0   100.00   prošle
       1        1     0.00   pruža
       1        0   100.00   pružajući
       1        0   100.00   pružatelja
       1        0   100.00   pružati
       1        0   100.00   ranije
       1        0   100.00   razvoju
       1        0   100.00   republici
       4        2    50.00   rješenja
       1        0   100.00   s
       1        0   100.00   samo
       1        0   100.00   sedam
       1        0   100.00   servisa
       1        0   100.00   sklopljenih
       1        0   100.00   snažan
       1        0   100.00   središnjoj
       1        0   100.00   stalnim
       1        0   100.00   stečena
       1        0   100.00   stvaranje
       2        0   100.00   sva
       1        0   100.00   sve
       3        1    66.67   svim
       1        0   100.00   svoje
       1        0   100.00   svojih
       1        0   100.00   također
       1        0   100.00   te
       1        0   100.00   tehnologije
       3        1    66.67   telekom
       1        0   100.00   telekomunikacijskog
       1        0   100.00   telekomunikacijskom
       1        0   100.00   transformaciji
       1        0   100.00   trenutačno
       2        0   100.00   tržišta
       1        0   100.00   tržištima
       2        0   100.00   tržištu
       1        0   100.00   tv
       5        0   100.00   u
       1        0   100.00   ugovora
       1        0   100.00   uključujući
       2        0   100.00   ulaganjima
       1        0   100.00   unatoč
       2        0   100.00   usluge
       1        0   100.00   uvođenje
       1        0   100.00   valjana
       1        0   100.00   već
       1        0   100.00   vip
       4        0   100.00   vipnet
       1        0   100.00   vodećeg
       3        0   100.00   za
       1        0   100.00   zamijeniti
       1        0   100.00   značajno
       6        0   100.00   će
       2        0   100.00   ćemo
       1        0   100.00   član
