UNLV-ISRI OCR Word Accuracy Report Version 6.1
----------------------------------------------
     226   Words
      64   Misrecognized
   71.68%  Accuracy

Stopwords
   Count   Missed   %Right   Length
      15        0   100.00        1
       1        0   100.00        2
      16        0   100.00    Total

Non-stopwords
   Count   Missed   %Right   Length
       6        1    83.33        1
      31       11    64.52        2
      17        0   100.00        3
      11        3    72.73        4
      18        8    55.56        5
      23        6    73.91        6
      24        9    62.50        7
      15        6    60.00        8
      32        8    75.00        9
      13        4    69.23       10
      12        4    66.67       11
       1        0   100.00       13
       2        2     0.00       14
       3        2    33.33       15
       2        0   100.00       19
     210       64    69.52    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
     124       35    71.77        1
      13        3    76.92        2
       7        0   100.00        3
       4        0   100.00        4
       1        0   100.00        5
       1        0   100.00        6
       1        0   100.00      >10
     151       38    74.83    Total

Phrases
   Count   Missed   %Right   Length
     226       64    71.68        1
     225      109    51.56        2
     224      137    38.84        3
     223      161    27.80        4
     222      175    21.17        5
     221      187    15.38        6
     220      195    11.36        7
     219      199     9.13        8

Stopwords
   Count   Missed   %Right   
       1        0   100.00   a
       1        0   100.00   do
      14        0   100.00   i

Non-stopwords
   Count   Missed   %Right   
       1        1     0.00   19
       1        0   100.00   24
      12       10    16.67   a1
       3        2    33.33   austria
       1        0   100.00   bez
       4        1    75.00   brend
       2        0   100.00   brenda
       1        0   100.00   brendom
       1        0   100.00   budući
       2        0   100.00   d.o.o
       3        0   100.00   da
       1        0   100.00   digitalnih
       1        1     0.00   digitalnoj
       1        0   100.00   dobavljača
       1        0   100.00   dosljedno
       2        0   100.00   društva
       1        1     0.00   država
       1        0   100.00   ekonomije
       1        1     0.00   europi
       1        0   100.00   europskom
       1        0   100.00   fiksna
       1        1     0.00   fiksne
       1        0   100.00   generacije
       1        0   100.00   gigabitnog
       1        1     0.00   godina
       2        0   100.00   godine
       1        1     0.00   grupa
       2        2     0.00   grupe
       1        1     0.00   hrvatska
       1        0   100.00   hrvatske
       1        1     0.00   hrvatskog
       1        1     0.00   hrvatskoj
       1        1     0.00   hrvatskom
       1        0   100.00   ili
       1        0   100.00   inovacijama
       1        0   100.00   inovativna
       1        0   100.00   iskustvo
       1        1     0.00   istočnoj
       1        0   100.00   izmjenama
       3        0   100.00   je
       1        0   100.00   jedinstveni
       1        0   100.00   jedinstveno
       1        0   100.00   kao
       1        0   100.00   klijenata
       1        1     0.00   koja
       2        1    50.00   koji
       1        0   100.00   kompanije
       1        1     0.00   komunikacijskih
       1        1     0.00   komunikacijskim
       1        0   100.00   korisnicima
       3        1    66.67   korisnika
       1        1     0.00   kraja
       1        1     0.00   milijuna
       1        0   100.00   mobilna
       1        0   100.00   mobilne
       1        0   100.00   mreže
       4        0   100.00   na
       1        1     0.00   napretku
       1        0   100.00   nastavit
       1        0   100.00   nastaviti
       1        0   100.00   naziva
       1        0   100.00   naših
       1        0   100.00   ne
       1        0   100.00   nego
       1        1     0.00   nepromijenjena
       1        0   100.00   njezinu
       2        0   100.00   nove
       1        0   100.00   novim
       1        0   100.00   oblaku
       1        0   100.00   obveze
       1        0   100.00   od
       1        1     0.00   odgovarati
       1        0   100.00   odlučila
       1        0   100.00   omogućavajući
       1        0   100.00   omogućiti
       1        0   100.00   osnažiti
       1        0   100.00   ostat
       1        0   100.00   ott
       1        0   100.00   ove
       1        1     0.00   partnera
       1        0   100.00   pod
       1        0   100.00   podatkovna
       1        0   100.00   pomažući
       1        0   100.00   ponosni
       1        0   100.00   poslovnih
       1        0   100.00   posluje
       1        0   100.00   postaje
       1        0   100.00   postat
       1        0   100.00   potrebama
       1        1     0.00   potrebe
       1        0   100.00   poziciju
       1        0   100.00   početaka
       1        0   100.00   prava
       1        0   100.00   pri
       1        0   100.00   približno
       1        0   100.00   pridonosi
       1        1     0.00   promjeni
       1        0   100.00   prošle
       1        1     0.00   pruža
       1        1     0.00   pružajući
       1        0   100.00   pružatelja
       1        1     0.00   pružati
       1        0   100.00   ranije
       1        1     0.00   razvoju
       1        0   100.00   republici
       4        3    25.00   rješenja
       1        0   100.00   s
       1        0   100.00   samo
       1        0   100.00   sedam
       1        1     0.00   servisa
       1        1     0.00   sklopljenih
       1        0   100.00   snažan
       1        0   100.00   središnjoj
       1        0   100.00   stalnim
       1        0   100.00   stečena
       1        0   100.00   stvaranje
       2        0   100.00   sva
       1        0   100.00   sve
       3        1    66.67   svim
       1        0   100.00   svoje
       1        1     0.00   svojih
       1        0   100.00   također
       1        0   100.00   te
       1        0   100.00   tehnologije
       3        2    33.33   telekom
       1        0   100.00   telekomunikacijskog
       1        0   100.00   telekomunikacijskom
       1        1     0.00   transformaciji
       1        1     0.00   trenutačno
       2        0   100.00   tržišta
       1        1     0.00   tržištima
       2        0   100.00   tržištu
       1        0   100.00   tv
       5        1    80.00   u
       1        1     0.00   ugovora
       1        0   100.00   uključujući
       2        2     0.00   ulaganjima
       1        0   100.00   unatoč
       2        1    50.00   usluge
       1        0   100.00   uvođenje
       1        0   100.00   valjana
       1        0   100.00   već
       1        0   100.00   vip
       4        0   100.00   vipnet
       1        0   100.00   vodećeg
       3        0   100.00   za
       1        0   100.00   zamijeniti
       1        0   100.00   značajno
       6        0   100.00   će
       2        2     0.00   ćemo
       1        1     0.00   član
